Sample.ID	adaptation	temperature	co2	water.loss	body.size	weight.loss	eggs
J15	heat.adapted	35	0.01658	21.10240533	0.0143	0.0026	54
N10	heat.adapted	35	0.0158	21.58278533	0.0168	0.0043	65
B5	cold.adapted	35	0.014429893	21.82591933	0.0146	0.0024	62
K21	heat.adapted	35	0.020096867	22.45761	0.0174	0.0041	63
N3	heat.adapted	35	0.015595593	22.70024067	0.0179	0.0041	65
C9	cold.adapted	35	0.01428238	22.77115533	0.017	0.003	42
N11	heat.adapted	35	0.017276047	22.89985067	0.0175	0.0037	63
E15	cold.adapted	35	0.015115417	22.994637	0.015	0.0034	34
D15	cold.adapted	35	0.01458004	23.20435333	0.0164	0.0039	67
K12	heat.adapted	35	0.0185759	23.20933867	0.0171	0.0038	59
N5	heat.adapted	35	0.016246653	23.389642	0.0162	0.0037	47
J3	heat.adapted	35	0.01624	24.12143933	0.0148	0.0025	65
E12	cold.adapted	35	0.0192	24.29270667	0.0156	0.0032	41
D8	cold.adapted	35	0.01608	24.40167867	0.0165	0.003	66
E13	cold.adapted	35	0.015816667	24.511175	0.0152	0.0029	43
K4	heat.adapted	35	0.01824986	24.55092	0.0189	0.0042	69
K10	heat.adapted	35	0.019381753	24.56425733	0.0173	0.0038	67
D9	cold.adapted	35	0.015570273	24.682798	0.0181	0.0038	66
L7	heat.adapted	35	0.019517813	24.72372733	0.0172	0.003	79
J12	heat.adapted	35	0.017317413	24.77335933	0.0144	0.003	48
L9	heat.adapted	35	0.01633	24.82508667	0.0167	0.0023	66
L4	heat.adapted	35	0.0218454	24.889482	0.0179	0.0033	80
C10	cold.adapted	35	0.01801572	24.92739333	0.016	0.0033	56
K7	heat.adapted	35	0.01927916	25.03797	0.0155	0.0034	50
